randomization,descending_0.01,ascending_0.01,total_0.01,descending_0.02,ascending_0.02,total_0.02,descending_0.05,ascending_0.05,total_0.05,descending_0.1,ascending_0.1,total_0.1,descending_0.2,ascending_0.2,total_0.2,descending_0.3,ascending_0.3,total_0.3,descending_0.5,ascending_0.5,total_0.5
814,10,45,55,55,191,246,447,1637,2084,1922,4804,6726,8143,13184,21327,18314,25228,43542,52611,54410,107021
815,11,32,43,56,157,213,458,1565,2023,2049,4780,6829,8256,12741,20997,18203,24239,42442,52150,53350,105500
816,11,37,48,57,166,223,406,1556,1962,1913,4720,6633,8131,12928,21059,18536,25130,43666,52560,54629,107189
817,10,37,47,48,167,215,433,1523,1956,1925,4860,6785,8245,13291,21536,18644,25443,44087,52857,54278,107135
818,16,37,53,58,214,272,398,1588,1986,1878,4747,6625,8301,13101,21402,18836,25670,44506,53126,55320,108446
819,13,30,43,54,151,205,411,1577,1988,1919,4839,6758,8157,13002,21159,18299,25349,43648,52450,54962,107412
820,13,34,47,79,178,257,488,1636,2124,2000,4995,6995,8352,13230,21582,18839,25581,44420,52370,54842,107212
821,14,43,57,61,211,272,417,1488,1905,1937,4796,6733,8407,13500,21907,18970,25521,44491,53583,54778,108361
822,8,37,45,48,185,233,412,1574,1986,1922,4751,6673,8123,12927,21050,18501,25353,43854,52670,54412,107082
823,6,35,41,65,150,215,436,1462,1898,2015,4544,6559,8102,12821,20923,18561,24940,43501,52328,54650,106978
824,7,39,46,54,166,220,411,1580,1991,1937,4770,6707,8351,13013,21364,18513,25261,43774,52564,54406,106970
825,7,47,54,54,184,238,347,1514,1861,1928,4751,6679,7972,13021,20993,17849,25166,43015,51441,54044,105485
826,9,35,44,57,167,224,427,1610,2037,1951,4902,6853,8332,13115,21447,18741,25539,44280,52513,55203,107716
827,11,40,51,71,189,260,481,1686,2167,2046,4929,6975,8175,13152,21327,18236,25268,43504,52421,54519,106940
828,16,35,51,55,161,216,414,1519,1933,1881,4613,6494,8181,12961,21142,18238,24823,43061,52493,54405,106898
829,8,52,60,65,195,260,407,1640,2047,1854,5016,6870,8140,13522,21662,18455,26219,44674,53168,55058,108226
830,16,33,49,62,175,237,391,1658,2049,1878,5000,6878,8162,13467,21629,18613,25511,44124,53501,54634,108135
831,5,31,36,56,150,206,453,1602,2055,2029,4920,6949,8539,13329,21868,18521,25815,44336,52980,54709,107689
832,17,29,46,68,190,258,437,1714,2151,1981,5023,7004,8392,13629,22021,18670,26194,44864,53216,55908,109124
833,6,37,43,42,176,218,417,1597,2014,1944,4601,6545,8465,12657,21122,18913,25085,43998,53291,54534,107825
834,5,37,42,45,181,226,410,1572,1982,1920,4739,6659,8346,12782,21128,18901,24988,43889,53054,54628,107682
835,11,34,45,58,166,224,421,1652,2073,1962,4802,6764,8334,12761,21095,18739,25115,43854,53423,54269,107692
836,13,28,41,53,161,214,442,1556,1998,1980,4875,6855,8257,13053,21310,18476,25328,43804,52563,54952,107515
837,9,48,57,48,180,228,408,1667,2075,1947,4950,6897,8364,13574,21938,18919,25905,44824,53051,54876,107927
838,7,23,30,57,170,227,406,1590,1996,1814,4778,6592,8099,13235,21334,18342,25706,44048,52632,54979,107611
839,12,42,54,65,166,231,428,1654,2082,2012,4853,6865,8506,13000,21506,18633,25128,43761,53029,53986,107015
840,8,37,45,51,179,230,407,1604,2011,1845,4694,6539,8147,13174,21321,18460,25339,43799,53224,54567,107791
841,11,48,59,59,192,251,411,1623,2034,1849,4771,6620,8336,12951,21287,18586,25246,43832,52051,54441,106492
842,15,32,47,66,165,231,390,1541,1931,1963,4775,6738,8239,12901,21140,18491,25147,43638,52264,54516,106780
843,15,58,73,69,188,257,426,1607,2033,2006,4793,6799,8327,12801,21128,18445,25156,43601,53308,54357,107665
844,10,27,37,54,154,208,425,1575,2000,1984,4790,6774,8302,12900,21202,18533,24830,43363,52411,53849,106260
845,5,29,34,55,187,242,421,1666,2087,1902,4998,6900,8242,13229,21471,18473,25421,43894,52720,55100,107820
846,15,42,57,68,157,225,417,1619,2036,1959,4704,6663,8271,12892,21163,18656,24917,43573,52605,54191,106796
847,9,52,61,45,229,274,433,1734,2167,2046,5169,7215,8418,13708,22126,18809,26125,44934,53068,55662,108730
848,14,38,52,64,143,207,409,1456,1865,1911,4626,6537,8250,12559,20809,18389,24608,42997,52312,53853,106165
849,12,48,60,52,193,245,381,1592,1973,1819,4681,6500,7914,13295,21209,18168,25556,43724,52547,54584,107131
850,13,50,63,71,199,270,446,1628,2074,2054,4818,6872,8567,13421,21988,19042,25604,44646,53964,54931,108895
851,15,36,51,71,188,259,434,1676,2110,1911,4810,6721,8281,13030,21311,18461,25228,43689,53074,54080,107154
852,11,34,45,68,192,260,458,1627,2085,1995,4931,6926,8454,13468,21922,18689,25856,44545,53424,55179,108603
853,8,41,49,48,183,231,433,1611,2044,2002,4796,6798,8226,13132,21358,18528,25446,43974,52398,54738,107136
854,12,38,50,56,143,199,449,1640,2089,1996,4823,6819,8407,13514,21921,18689,25155,43844,52228,54328,106556
855,15,38,53,66,188,254,479,1533,2012,2085,4672,6757,8412,12870,21282,18815,25193,44008,53525,54106,107631
856,8,44,52,43,215,258,407,1665,2072,1952,5096,7048,8217,13461,21678,18599,25963,44562,52728,55953,108681
857,12,38,50,67,171,238,455,1652,2107,1939,4951,6890,8482,13150,21632,19009,25595,44604,53331,54202,107533
858,19,37,56,80,169,249,499,1643,2142,2079,4916,6995,8284,13327,21611,18519,25263,43782,52513,54575,107088
859,12,37,49,53,198,251,391,1603,1994,1812,4792,6604,8070,12951,21021,18440,25090,43530,53012,54537,107549
860,10,36,46,76,171,247,451,1551,2002,1937,4614,6551,8192,12676,20868,18712,24794,43506,53402,54159,107561
861,12,29,41,65,167,232,382,1583,1965,1815,4900,6715,8087,13404,21491,18605,25535,44140,53250,55148,108398
862,5,50,55,43,197,240,401,1611,2012,1968,4788,6756,8085,13219,21304,18174,25745,43919,52604,55415,108019
863,12,31,43,56,193,249,447,1549,1996,2009,4753,6762,8295,13323,21618,18589,25770,44359,52625,54815,107440
864,7,29,36,49,164,213,462,1534,1996,1932,4718,6650,8424,13021,21445,18953,25057,44010,53265,54801,108066
865,10,42,52,60,181,241,410,1572,1982,1925,4957,6882,8394,13167,21561,18913,25400,44313,53368,54995,108363
866,12,40,52,62,173,235,420,1441,1861,1933,4721,6654,7971,13011,20982,18149,25388,43537,51871,54465,106336
867,16,32,48,47,174,221,420,1639,2059,1974,4836,6810,8309,13261,21570,18493,25775,44268,53014,55027,108041
868,10,34,44,62,170,232,415,1652,2067,1894,4928,6822,8220,13236,21456,18342,25628,43970,52155,54304,106459
869,9,33,42,47,149,196,399,1682,2081,1977,4824,6801,8260,13056,21316,18510,25288,43798,52987,54486,107473
870,9,37,46,48,165,213,396,1732,2128,1864,5155,7019,8030,13757,21787,18374,26018,44392,52534,55774,108308
871,14,33,47,64,155,219,464,1634,2098,2005,4978,6983,8216,13297,21513,18630,25595,44225,53375,55248,108623
