node,cell_type,side,direction,edges,price_um,lost_flow,lost_flow_brain_to_vnc,lost_flow_vnc_to_brain,value,value_per_mm
AN06B057|R,AN06B057,R,ascending,20,10758.73,0,0,0,0,0.00
AN06B068|L,AN06B068,L,ascending,12,6525.78,0,0,0,0,0.00
DNge173|L,DNge173,L,descending,2,605.05,0,0,0,0,0.00
DNge173|R,DNge173,R,descending,7,2118.21,0,0,0,0,0.00
DNge174|L,DNge174,L,descending,1,464.36,0,0,0,0,0.00
DNge174|R,DNge174,R,descending,1,459.65,0,0,0,0,0.00
DNge175|L,DNge175,L,descending,7,3903.05,0,0,0,0,0.00
DNge175|R,DNge175,R,descending,5,2709.11,0,0,0,0,0.00
DNge176|L,DNge176,L,descending,4,1475.74,0,0,0,0,0.00
DNge176|R,DNge176,R,descending,2,1113.20,0,0,0,0,0.00
DNge178|L,DNge178,L,descending,5,1946.67,0,0,0,0,0.00
DNge178|R,DNge178,R,descending,3,1480.82,0,0,0,0,0.00
AN06B068|R,AN06B068,R,ascending,12,6089.79,0,0,0,0,0.00
AN06B075|L,AN06B075,L,ascending,13,6819.05,0,0,0,0,0.00
DNge180|L,DNge180,L,descending,4,2261.72,0,0,0,0,0.00
DNge180|R,DNge180,R,descending,3,1600.39,0,0,0,0,0.00
DNge181|L,DNge181,L,descending,12,7258.26,0,0,0,0,0.00
DNge181|R,DNge181,R,descending,12,7281.13,0,0,0,0,0.00
DNge182|L,DNge182,L,descending,20,11645.60,0,0,0,0,0.00
DNge182|R,DNge182,R,descending,21,13626.17,0,0,0,0,0.00
DNge183|L,DNge183,L,descending,6,4222.39,0,0,0,0,0.00
DNge183|R,DNge183,R,descending,5,3392.81,0,0,0,0,0.00
DNge184|L,DNge184,L,descending,2,626.29,0,0,0,0,0.00
DNp01|L,DNp01,L,descending,3,1317.11,0,0,0,0,0.00
AN06B075|R,AN06B075,R,ascending,11,6032.43,0,0,0,0,0.00
DNp02|L,DNp02,L,descending,26,13860.74,0,0,0,0,0.00
DNp02|R,DNp02,R,descending,25,13027.97,0,0,0,0,0.00
DNp03|L,DNp03,L,descending,6,3441.33,0,0,0,0,0.00
DNp03|R,DNp03,R,descending,2,1222.08,0,0,0,0,0.00
DNp04|L,DNp04,L,descending,7,3523.57,0,0,0,0,0.00
DNp04|R,DNp04,R,descending,8,4045.45,0,0,0,0,0.00
DNp05|L,DNp05,L,descending,25,15292.06,0,0,0,0,0.00
DNp05|R,DNp05,R,descending,30,18362.51,0,0,0,0,0.00
DNp06|L,DNp06,L,descending,46,25082.74,0,0,0,0,0.00
DNp06|R,DNp06,R,descending,43,23442.28,0,0,0,0,0.00
DNp07|L,DNp07,L,descending,52,30512.06,0,0,0,0,0.00
AN06B088|L,AN06B088,L,ascending,4,3440.49,0,0,0,0,0.00
DNp08|L,DNp08,L,descending,66,38643.72,0,0,0,0,0.00
DNp08|R,DNp08,R,descending,66,39075.19,0,0,0,0,0.00
DNp09|L,DNp09,L,descending,27,16487.95,0,0,0,0,0.00
DNp09|R,DNp09,R,descending,26,14970.28,0,0,0,0,0.00
DNp101|L,DNp101,L,descending,1,768.18,0,0,0,0,0.00
DNp101|R,DNp101,R,descending,1,769.24,0,0,0,0,0.00
AN06B088|R,AN06B088,R,ascending,5,4172.00,0,0,0,0,0.00
AN06B089|R,AN06B089,R,ascending,8,5086.32,0,0,0,0,0.00
DNp103|L,DNp103,L,descending,22,11210.72,0,0,0,0,0.00
DNp103|R,DNp103,R,descending,21,10783.14,0,0,0,0,0.00
DNp104|L,DNp104,L,descending,1,502.53,0,0,0,0,0.00
DNp104|R,DNp104,R,descending,3,1405.52,0,0,0,0,0.00
DNp10|L,DNp10,L,descending,28,21324.07,0,0,0,0,0.00
DNp10|R,DNp10,R,descending,40,29517.04,0,0,0,0,0.00
AN06B090|L,AN06B090,L,ascending,19,10777.69,0,0,0,0,0.00
AN06B090|R,AN06B090,R,ascending,23,12583.49,0,0,0,0,0.00
AN07B003|L,AN07B003,L,ascending,2,968.73,0,0,0,0,0.00
AN07B003|R,AN07B003,R,ascending,2,926.84,0,0,0,0,0.00
AN07B005|L,AN07B005,L,ascending,17,8342.45,0,0,0,0,0.00
AN07B005|R,AN07B005,R,ascending,16,8578.13,0,0,0,0,0.00
AN07B011|L,AN07B011,L,ascending,3,1549.59,0,0,0,0,0.00
AN07B011|R,AN07B011,R,ascending,2,1054.18,0,0,0,0,0.00
AN07B013|L,AN07B013,L,ascending,11,4793.60,0,0,0,0,0.00
AN07B013|R,AN07B013,R,ascending,9,4455.50,0,0,0,0,0.00
DNp16_a|L,DNp16_a,L,descending,4,2069.55,0,0,0,0,0.00
DNp16_a|R,DNp16_a,R,descending,4,1995.54,0,0,0,0,0.00
DNp16_b|L,DNp16_b,L,descending,4,2433.79,0,0,0,0,0.00
DNp16_b|R,DNp16_b,R,descending,6,3367.17,0,0,0,0,0.00
AN07B015|L,AN07B015,L,ascending,7,2445.58,0,0,0,0,0.00
AN07B015|R,AN07B015,R,ascending,7,2600.80,0,0,0,0,0.00
DNp18|L,DNp18,L,descending,47,30095.27,0,0,0,0,0.00
DNp18|R,DNp18,R,descending,41,25457.73,0,0,0,0,0.00
DNp19|L,DNp19,L,descending,29,16820.22,0,0,0,0,0.00
DNp19|R,DNp19,R,descending,24,13941.03,0,0,0,0,0.00
DNp20|R,DNp20,R,descending,1,753.22,0,0,0,0,0.00
AN07B018|L,AN07B018,L,ascending,24,11948.12,0,0,0,0,0.00
