node,cell_type,side,direction,edges,price_um,lost_flow,lost_flow_brain_to_vnc,lost_flow_vnc_to_brain,value,value_per_mm
DNpe036|R,DNpe036,R,descending,41,31251.26,17,17,0,17,0.54
DNpe034|L,DNpe034,L,descending,25,20748.49,0,17,0,17,0.82
DNg98|L,DNg98,L,descending,172,114640.93,0,16,0,16,0.14
DNg98|R,DNg98,R,descending,177,122750.04,1,16,0,16,0.13
DNg102|L,DNg102,L,descending,101,65886.93,1,15,0,15,0.23
DNpe034|R,DNpe034,R,descending,22,17753.92,0,15,0,15,0.84
DNpe036|L,DNpe036,L,descending,46,34889.48,18,14,0,14,0.40
DNge002|L,DNge002,L,descending,14,5512.44,14,14,0,14,2.54
DNge002|R,DNge002,R,descending,14,5491.66,14,14,0,14,2.55
DNp58|L,DNp58,L,descending,27,20858.79,12,14,0,14,0.67
DNp48|R,DNp48,R,descending,51,36990.47,16,13,0,13,0.35
DNg102|R,DNg102,R,descending,99,67061.58,1,13,0,13,0.19
DNge172|L,DNge172,L,descending,35,27753.08,14,13,0,13,0.47
DNg70|R,DNg70,R,descending,69,49047.34,0,12,0,12,0.24
DNp13|R,DNp13,R,descending,68,44375.35,1,12,0,12,0.27
DNp58|R,DNp58,R,descending,24,17831.66,7,12,0,12,0.67
DNp13|L,DNp13,L,descending,66,42201.92,1,12,0,12,0.28
DNg93|R,DNg93,R,descending,19,10221.58,11,11,0,11,1.08
DNge013|R,DNge013,R,descending,31,19425.01,0,11,0,11,0.57
DNge013|L,DNge013,L,descending,36,22748.80,0,11,0,11,0.48
DNge136|L,DNge136,L,descending,75,54195.35,0,11,0,11,0.20
DNg80|R,DNg80,R,descending,24,16821.92,0,10,0,10,0.59
DNge172|R,DNge172,R,descending,74,56231.72,26,10,0,10,0.18
AN19B025|R,AN19B025,R,ascending,28,15243.03,9,0,9,9,0.59
DNge136|R,DNge136,R,descending,73,51120.95,0,9,0,9,0.18
DNp48|L,DNp48,L,descending,55,42139.15,15,9,0,9,0.21
DNg33|L,DNg33,L,descending,16,12777.23,2,9,0,9,0.70
DNge079|L,DNge079,L,descending,48,24313.54,9,9,0,9,0.37
DNg80|L,DNg80,L,descending,23,15737.39,0,8,0,8,0.51
DNpe040|L,DNpe040,L,descending,15,11284.72,0,8,0,8,0.71
ANXXX071|R,ANXXX071,R,ascending,28,21910.34,8,0,8,8,0.37
DNg105|R,DNg105,R,descending,20,12842.60,8,8,0,8,0.62
DNg33|R,DNg33,R,descending,15,11767.05,2,8,0,8,0.68
DNg93|L,DNg93,L,descending,11,6376.29,7,7,0,7,1.10
DNg76|R,DNg76,R,descending,12,5586.21,7,7,0,7,1.25
DNg50|R,DNg50,R,descending,16,9257.90,5,7,0,7,0.76
ANXXX191|R,ANXXX191,R,ascending,12,5596.17,7,0,7,7,1.25
DNg49|L,DNg49,L,descending,8,2850.09,7,7,0,7,2.46
DNp65|R,DNp65,R,descending,9,6170.07,5,7,0,7,1.13
AN07B042|R,AN07B042,R,ascending,16,5739.93,7,0,7,7,1.22
DNge125|L,DNge125,L,descending,11,4012.39,7,7,0,7,1.74
DNg74_b|L,DNg74_b,L,descending,24,15681.24,7,7,0,7,0.45
DNp21|R,DNp21,R,descending,40,23361.16,0,7,0,7,0.30
DNpe040|R,DNpe040,R,descending,17,12528.96,0,7,0,7,0.56
DNg49|R,DNg49,R,descending,9,3222.19,7,7,0,7,2.17
DNge038|R,DNge038,R,descending,20,12407.40,7,7,0,7,0.56
DNge079|R,DNge079,R,descending,40,20265.33,6,6,0,6,0.30
DNge038|L,DNge038,L,descending,19,6529.03,6,6,0,6,0.92
ANXXX071|L,ANXXX071,L,ascending,27,5793.22,6,0,6,6,1.04
DNge143|L,DNge143,L,descending,6,2116.82,6,6,0,6,2.83
DNp31|R,DNp31,R,descending,34,19299.78,6,6,0,6,0.31
DNge143|R,DNge143,R,descending,6,1737.82,6,6,0,6,3.45
AN19B025|L,AN19B025,L,ascending,25,14036.99,6,0,6,6,0.43
DNg105|L,DNg105,L,descending,15,9294.53,6,6,0,6,0.65
DNge125|R,DNge125,R,descending,10,3707.23,6,6,0,6,1.62
AN10B009|L,AN10B009,L,ascending,26,15325.50,5,0,5,5,0.33
DNp15|R,DNp15,R,descending,22,12941.36,5,5,0,5,0.39
DNde005|L,DNde005,L,descending,12,9438.06,2,5,0,5,0.53
DNa06|L,DNa06,L,descending,18,13265.82,5,5,0,5,0.38
DNa06|R,DNa06,R,descending,19,13704.03,5,5,0,5,0.36
DNg34|L,DNg34,L,descending,43,29897.59,0,5,0,5,0.17
DNg74_b|R,DNg74_b,R,descending,19,11781.15,5,5,0,5,0.42
DNg50|L,DNg50,L,descending,15,8173.76,4,5,0,5,0.61
DNge033|R,DNge033,R,descending,8,2831.68,5,5,0,5,1.77
DNge033|L,DNge033,L,descending,9,3091.07,5,5,0,5,1.62
DNge018|R,DNge018,R,descending,13,5080.36,5,5,0,5,0.98
DNpe009|L,DNpe009,L,descending,9,3713.95,5,5,0,5,1.35
ANXXX191|L,ANXXX191,L,ascending,8,3883.98,5,0,5,5,1.29
DNp12|R,DNp12,R,descending,42,30280.79,0,5,0,5,0.17
DNg68|R,DNg68,R,descending,53,32256.51,0,5,0,5,0.16
AN19B014|R,AN19B014,R,ascending,11,5995.78,5,0,5,5,0.83
DNge018|L,DNge018,L,descending,15,5852.19,5,5,0,5,0.85
DNpe009|R,DNpe009,R,descending,11,4786.64,5,5,0,5,1.04
DNp15|L,DNp15,L,descending,24,14294.19,5,5,0,5,0.35
DNpe021|L,DNpe021,L,descending,65,40790.13,0,5,0,5,0.12
DNg70|L,DNg70,L,descending,53,36882.33,0,5,0,5,0.14
DNg68|L,DNg68,L,descending,53,34158.13,0,5,0,5,0.15
AN19B001|R,AN19B001,R,ascending,24,13027.58,0,0,4,4,0.31
AN07B049|R,AN07B049,R,ascending,19,6149.53,4,0,4,4,0.65
AN03A002|L,AN03A002,L,ascending,11,5126.84,4,0,4,4,0.78
DNg81|R,DNg81,R,descending,5,1419.79,4,4,0,4,2.82
AN07B052|R,AN07B052,R,ascending,19,6806.68,4,0,4,4,0.59
DNg10|L,DNg10,L,descending,15,6116.62,4,4,0,4,0.65
DNg76|L,DNg76,L,descending,10,5728.48,4,4,0,4,0.70
AN03A002|R,AN03A002,R,ascending,7,3149.36,4,0,4,4,1.27
DNp12|L,DNp12,L,descending,45,30769.26,0,4,0,4,0.13
AN10B009|R,AN10B009,R,ascending,18,10072.20,4,0,4,4,0.40
DNp31|L,DNp31,L,descending,27,14702.45,4,4,0,4,0.27
DNd04|L,DNd04,L,descending,20,15340.20,0,4,0,4,0.26
AN07B042|L,AN07B042,L,ascending,10,3216.75,4,0,4,4,1.24
DNpe020|M,DNpe020,M,descending,32,22363.74,4,4,0,4,0.18
DNge086|R,DNge086,R,descending,13,5077.69,4,4,0,4,0.79
DNp65|L,DNp65,L,descending,8,5590.59,4,4,0,4,0.72
DNge142|R,DNge142,R,descending,55,37827.30,0,4,0,4,0.11
DNp64|L,DNp64,L,descending,22,14638.84,0,4,0,4,0.27
AN19B014|L,AN19B014,L,ascending,11,6242.68,4,0,4,4,0.64
DNge139|R,DNge139,R,descending,10,8442.76,0,4,0,4,0.47
DNp49|R,DNp49,R,descending,63,37923.74,4,4,0,4,0.11
DNge139|L,DNge139,L,descending,7,6008.35,0,4,0,4,0.67
DNge063|L,DNge063,L,descending,15,8174.95,4,4,0,4,0.49
AN19B018|R,AN19B018,R,ascending,5,1843.44,3,0,3,3,1.63
DNg03|L,DNg03,L,descending,28,14631.57,3,3,0,3,0.21
DNg04|R,DNg04,R,descending,10,5349.22,3,3,0,3,0.56
AN07B049|L,AN07B049,L,ascending,22,6636.34,3,0,3,3,0.45
AN06A026|L,AN06A026,L,ascending,10,7485.36,3,0,3,3,0.40
AN07B052|L,AN07B052,L,ascending,17,5044.79,3,0,3,3,0.59
DNg27|L,DNg27,L,descending,41,22971.03,2,3,0,3,0.13
DNa15|L,DNa15,L,descending,42,30087.22,3,3,0,3,0.10
ANXXX006|L,ANXXX006,L,ascending,17,6304.77,3,0,3,3,0.48
DNae002|L,DNae002,L,descending,25,17905.43,3,3,0,3,0.17
AN03B095|L,AN03B095,L,ascending,6,2687.80,3,0,3,3,1.12
DNg27|R,DNg27,R,descending,41,22148.43,2,3,0,3,0.14
AN16B078_d|L,AN16B078_d,L,ascending,10,2961.19,3,0,3,3,1.01
AN16B078_d|R,AN16B078_d,R,ascending,12,3601.77,3,0,3,3,0.83
DNg10|R,DNg10,R,descending,16,6873.26,3,3,0,3,0.44
AN19B046|L,AN19B046,L,ascending,6,3853.62,3,0,3,3,0.78
AN06A026|R,AN06A026,R,ascending,9,6542.30,3,0,3,3,0.46
DNde005|R,DNde005,R,descending,10,7988.93,1,3,0,3,0.38
DNg42|L,DNg42,L,descending,19,11504.36,3,3,0,3,0.26
DNg42|R,DNg42,R,descending,21,12926.99,3,3,0,3,0.23
DNp63|L,DNp63,L,descending,25,17433.52,3,3,0,3,0.17
DNg78|L,DNg78,L,descending,3,1192.40,3,3,0,3,2.52
DNg91|L,DNg91,L,descending,17,9187.40,3,3,0,3,0.33
DNg91|R,DNg91,R,descending,20,10977.41,3,3,0,3,0.27
DNge026|L,DNge026,L,descending,5,2161.96,3,3,0,3,1.39
DNge026|R,DNge026,R,descending,4,1636.61,3,3,0,3,1.83
DNge059|L,DNge059,L,descending,14,6803.50,3,3,0,3,0.44
DNge087|L,DNge087,L,descending,6,2193.46,3,3,0,3,1.37
DNge087|R,DNge087,R,descending,7,2617.59,3,3,0,3,1.15
DNge095|R,DNge095,R,descending,10,5883.50,3,3,0,3,0.51
DNge108|L,DNge108,L,descending,20,12263.26,3,3,0,3,0.24
DNge151|M,DNge151,M,descending,10,7058.75,1,3,0,3,0.43
DNp33|L,DNp33,L,descending,37,23426.79,3,3,0,3,0.13
DNp49|L,DNp49,L,descending,66,41376.63,3,3,0,3,0.07
DNp63|R,DNp63,R,descending,18,12858.02,3,3,0,3,0.23
AN19B018|L,AN19B018,L,ascending,5,2052.34,3,0,3,3,1.46
AN11B008|R,AN11B008,R,ascending,3,1184.49,2,0,2,2,1.69
AN11B008|L,AN11B008,L,ascending,3,1164.06,2,0,2,2,1.72
AN07B076|R,AN07B076,R,ascending,3,2078.72,2,0,2,2,0.96
DNge012|R,DNge012,R,descending,17,5469.95,2,2,0,2,0.37
DNg34|R,DNg34,R,descending,59,37507.65,0,2,0,2,0.05
DNg22|R,DNg22,R,descending,6,3899.86,2,2,0,2,0.51
AN06A016|R,AN06A016,R,ascending,2,864.14,2,0,2,2,2.31
DNg73|R,DNg73,R,descending,4,1758.61,2,2,0,2,1.14
DNg78|R,DNg78,R,descending,3,1218.51,2,2,0,2,1.64
AN06A016|L,AN06A016,L,ascending,2,905.18,2,0,2,2,2.21
DNg109|R,DNg109,R,descending,20,10768.79,0,2,0,2,0.19
DNbe001|R,DNbe001,R,descending,26,18632.27,2,2,0,2,0.11
DNg22|L,DNg22,L,descending,7,4597.60,2,2,0,2,0.44
DNge049|R,DNge049,R,descending,37,23047.63,0,2,0,2,0.09
DNge050|R,DNge050,R,descending,42,23915.99,0,2,0,2,0.08
DNg02_b|L,DNg02_b,L,descending,21,11738.64,2,2,0,2,0.17
AN19B001|L,AN19B001,L,ascending,39,21756.58,0,0,2,2,0.09
DNge063|R,DNge063,R,descending,17,8780.13,2,2,0,2,0.23
DNge071|L,DNge071,L,descending,10,3778.24,2,2,0,2,0.53
DNge071|R,DNge071,R,descending,10,3923.32,2,2,0,2,0.51
DNge072|R,DNge072,R,descending,11,4891.62,2,2,0,2,0.41
AN07B004|R,AN07B004,R,ascending,316,146223.71,2,0,2,2,0.01
AN07B004|L,AN07B004,L,ascending,313,137373.65,2,0,2,2,0.01
DNge085|L,DNge085,L,descending,13,5244.29,2,2,0,2,0.38
DNge085|R,DNge085,R,descending,12,4271.39,2,2,0,2,0.47
AN16B078_c|R,AN16B078_c,R,ascending,9,2745.50,2,0,2,2,0.73
DNg12_b|L,DNg12_b,L,descending,7,3085.07,2,2,0,2,0.65
DNg81|L,DNg81,L,descending,3,796.74,2,2,0,2,2.51
DNg02_a|L,DNg02_a,L,descending,26,12399.24,2,2,0,2,0.16
DNge104|L,DNge104,L,descending,58,37186.36,0,2,0,2,0.05
DNge107|L,DNge107,L,descending,32,20917.91,2,2,0,2,0.10
DNg82|L,DNg82,L,descending,9,4784.61,2,2,0,2,0.42
DNge108|R,DNge108,R,descending,14,8282.13,2,2,0,2,0.24
DNge113|L,DNge113,L,descending,5,1664.89,2,2,0,2,1.20
DNge113|R,DNge113,R,descending,4,1366.85,2,2,0,2,1.46
DNpe052|R,DNpe052,R,descending,4,2698.37,0,2,0,2,0.74
AN16B078_c|L,AN16B078_c,L,ascending,13,3665.58,2,0,2,2,0.55
AN03B095|R,AN03B095,R,ascending,6,2900.87,2,0,2,2,0.69
DNge128|R,DNge128,R,descending,6,3564.27,0,2,0,2,0.56
DNae003|R,DNae003,R,descending,24,17448.53,2,2,0,2,0.11
DNae003|L,DNae003,L,descending,32,23267.61,2,2,0,2,0.09
DNae002|R,DNae002,R,descending,22,15256.33,2,2,0,2,0.13
ANXXX006|R,ANXXX006,R,ascending,14,6199.81,2,0,2,2,0.32
DNge142|L,DNge142,L,descending,52,35172.50,0,2,0,2,0.06
AN18B032|R,AN18B032,R,ascending,4,2303.97,2,0,2,2,0.87
AN18B032|L,AN18B032,L,ascending,7,3652.30,2,0,2,2,0.55
DNa16|R,DNa16,R,descending,37,28525.82,2,2,0,2,0.07
DNge148|L,DNge148,L,descending,9,4337.17,2,2,0,2,0.46
DNge150|M,DNge150,M,descending,18,8241.70,0,2,0,2,0.24
DNg66|M,DNg66,M,descending,49,37298.96,4,2,0,2,0.05
AN18B025|L,AN18B025,L,ascending,17,5427.19,2,0,2,2,0.37
AN18B023|R,AN18B023,R,ascending,15,5312.19,2,0,2,2,0.38
DNp102|L,DNp102,L,descending,35,20020.87,2,2,0,2,0.10
DNp11|R,DNp11,R,descending,34,19084.03,1,2,0,2,0.10
DNa16|L,DNa16,L,descending,37,29310.24,2,2,0,2,0.07
DNa15|R,DNa15,R,descending,34,24346.88,2,2,0,2,0.08
AN18B023|L,AN18B023,L,ascending,15,5282.64,2,0,2,2,0.38
DNa10|R,DNa10,R,descending,58,44026.91,2,2,0,2,0.05
DNg12_c|R,DNg12_c,R,descending,11,4973.34,2,2,0,2,0.40
AN06B040|R,AN06B040,R,ascending,32,16310.09,2,0,2,2,0.12
DNp17|R,DNp17,R,descending,45,29289.14,2,2,0,2,0.07
AN06B040|L,AN06B040,L,ascending,38,20030.16,2,0,2,2,0.10
AN07B056|R,AN07B056,R,ascending,6,4088.85,2,0,2,2,0.49
AN07B056|L,AN07B056,L,ascending,7,4732.15,2,0,2,2,0.42
DNg02_b|R,DNg02_b,R,descending,14,7965.51,2,2,0,2,0.25
DNp33|R,DNp33,R,descending,33,20389.10,2,2,0,2,0.10
DNp43|L,DNp43,L,descending,34,19510.72,0,2,0,2,0.10
DNp44|L,DNp44,L,descending,17,12594.32,1,2,0,2,0.16
DNp44|R,DNp44,R,descending,29,19222.25,1,2,0,2,0.10
AN02A001|R,AN02A001,R,ascending,63,35342.18,2,0,2,2,0.06
DNa09|R,DNa09,R,descending,37,27414.96,2,2,0,2,0.07
AN06A062|R,AN06A062,R,ascending,11,4570.49,2,0,2,2,0.44
AN12B017|L,AN12B017,L,ascending,30,20105.57,2,0,2,2,0.10
DNa09|L,DNa09,L,descending,34,24878.71,2,2,0,2,0.08
DNg12_c|L,DNg12_c,L,descending,9,3780.04,2,2,0,2,0.53
AN12B017|R,AN12B017,R,ascending,31,20487.11,2,0,2,2,0.10
AN06A060|R,AN06A060,R,ascending,7,2778.80,2,0,2,2,0.72
DNa08|L,DNa08,L,descending,18,12399.81,2,2,0,2,0.16
DNp64|R,DNp64,R,descending,18,12075.60,0,2,0,2,0.17
AN18B004|R,AN18B004,R,ascending,7,3974.45,2,0,2,2,0.50
DNa04|R,DNa04,R,descending,38,26336.40,2,2,0,2,0.08
DNp69|L,DNp69,L,descending,49,28866.79,0,2,0,2,0.07
DNpe004|R,DNpe004,R,descending,26,15871.15,2,2,0,2,0.13
DNpe005|L,DNpe005,L,descending,41,24490.43,2,2,0,2,0.08
DNpe007|L,DNpe007,L,descending,20,11396.57,1,2,0,2,0.18
DNpe007|R,DNpe007,R,descending,15,8678.22,1,2,0,2,0.23
AN18B004|L,AN18B004,L,ascending,6,3230.78,2,0,2,2,0.62
DNa04|L,DNa04,L,descending,41,29723.95,2,2,0,2,0.07
DNpe011|L,DNpe011,L,descending,8,5242.13,2,2,0,2,0.38
ANXXX002|L,ANXXX002,L,ascending,7,3488.37,2,0,2,2,0.57
DNg12_b|R,DNg12_b,R,descending,6,2793.76,2,2,0,2,0.72
DNpe021|R,DNpe021,R,descending,61,36937.87,0,2,0,2,0.05
AN19B060|L,AN19B060,L,ascending,4,2356.58,2,0,2,2,0.85
AN19B059|R,AN19B059,R,ascending,12,7541.23,2,0,2,2,0.27
DNg03|R,DNg03,R,descending,27,14527.80,2,2,0,2,0.14
pIP1|L,pIP1,L,descending,53,31361.65,0,2,0,2,0.06
AN10B008|R,AN10B008,R,ascending,15,10357.91,2,0,2,2,0.19
AN06A060|L,AN06A060,L,ascending,7,2676.39,2,0,2,2,0.75
DNpe041|L,DNpe041,L,descending,5,2898.14,0,2,0,2,0.69
DNpe041|R,DNpe041,R,descending,4,2426.08,0,2,0,2,0.82
DNpe043|L,DNpe043,L,descending,29,20033.43,1,2,0,2,0.10
DNpe043|R,DNpe043,R,descending,29,19568.45,1,2,0,2,0.10
DNpe045|L,DNpe045,L,descending,60,35337.38,1,2,0,2,0.06
DNpe045|R,DNpe045,R,descending,64,39894.29,1,2,0,2,0.05
AN01A055|R,AN01A055,R,ascending,61,26309.24,2,0,2,2,0.08
DNpe052|L,DNpe052,L,descending,3,2246.26,0,2,0,2,0.89
AN19A038|R,AN19A038,R,ascending,41,18302.38,1,0,1,1,0.05
DNge006|L,DNge006,L,descending,14,8864.97,1,1,0,1,0.11
DNge006|R,DNge006,R,descending,12,7564.96,1,1,0,1,0.13
DNge012|L,DNge012,L,descending,16,5630.87,1,1,0,1,0.18
AN16B112|R,AN16B112,R,ascending,7,1963.81,1,0,1,1,0.51
AN19B044|L,AN19B044,L,ascending,13,6184.77,1,0,1,1,0.16
ANXXX068|R,ANXXX068,R,ascending,17,13544.81,1,0,1,1,0.07
DNg37|L,DNg37,L,descending,38,18025.27,1,1,0,1,0.06
AN07B017|L,AN07B017,L,ascending,8,2975.68,1,0,1,1,0.34
AN07B017|R,AN07B017,R,ascending,8,2864.56,1,0,1,1,0.35
AN07B072_e|L,AN07B072_e,L,ascending,29,8885.44,1,0,1,1,0.11
DNge028|L,DNge028,L,descending,8,3138.71,1,1,0,1,0.32
DNge028|R,DNge028,R,descending,5,1833.08,1,1,0,1,0.55
AN07B072_e|R,AN07B072_e,R,ascending,23,3071.04,1,0,1,1,0.33
AN06A017|L,AN06A017,L,ascending,17,6764.57,1,0,1,1,0.15
DNge037|R,DNge037,R,descending,16,9097.65,1,1,0,1,0.11
AN06A017|R,AN06A017,R,ascending,16,6669.60,1,0,1,1,0.15
ANXXX171|L,ANXXX171,L,ascending,5,3307.80,1,0,1,1,0.30
DNge049|L,DNge049,L,descending,42,24444.15,0,1,0,1,0.04
AN06A027|R,AN06A027,R,ascending,8,3972.13,1,0,1,1,0.25
AN06A062|L,AN06A062,L,ascending,10,4171.96,1,0,1,1,0.24
AN11B012|R,AN11B012,R,ascending,3,1137.83,1,0,1,1,0.88
DNge062|L,DNge062,L,descending,10,5096.68,1,1,0,1,0.20
AN27X024|L,AN27X024,L,ascending,41,20326.21,1,0,1,1,0.05
AN19B051|L,AN19B051,L,ascending,4,3231.05,1,0,1,1,0.31
DNge064|L,DNge064,L,descending,21,12880.33,0,1,0,1,0.08
DNge070|L,DNge070,L,descending,2,728.75,1,1,0,1,1.37
DNge070|R,DNge070,R,descending,4,1937.71,1,1,0,1,0.52
AN19B051|R,AN19B051,R,ascending,2,1584.55,1,0,1,1,0.63
ANXXX171|R,ANXXX171,R,ascending,7,4662.64,1,0,1,1,0.21
DNge072|L,DNge072,L,descending,8,3228.65,1,1,0,1,0.31
ANXXX200|L,ANXXX200,L,ascending,13,6560.59,1,0,1,1,0.15
DNge078|L,DNge078,L,descending,5,1975.74,1,1,0,1,0.51
DNge078|R,DNge078,R,descending,7,2363.08,1,1,0,1,0.42
ANXXX200|R,ANXXX200,R,ascending,9,4858.78,1,0,1,1,0.21
ANXXX214|R,ANXXX214,R,ascending,6,4407.15,1,0,1,1,0.23
ANXXX462b|R,ANXXX462b,R,ascending,37,12325.79,1,0,1,1,0.08
DNa08|R,DNa08,R,descending,18,12039.19,1,1,0,1,0.08
DNge086|L,DNge086,L,descending,10,3970.95,1,1,0,1,0.25
DNa10|L,DNa10,L,descending,60,45112.86,1,1,0,1,0.02
DNa14|L,DNa14,L,descending,15,11810.07,1,1,0,1,0.08
DNa14|R,DNa14,R,descending,17,13507.86,1,1,0,1,0.07
DNae008|L,DNae008,L,descending,10,8057.67,0,1,0,1,0.12
DNge097|L,DNge097,L,descending,12,7960.33,1,1,0,1,0.13
DNge097|R,DNge097,R,descending,12,7686.85,1,1,0,1,0.13
DNge103|L,DNge103,L,descending,36,19139.24,0,1,0,1,0.05
DNae010|R,DNae010,R,descending,16,11630.04,1,1,0,1,0.09
DNge104|R,DNge104,R,descending,54,34113.44,0,1,0,1,0.03
DNge106|L,DNge106,L,descending,5,3488.58,1,1,0,1,0.29
DNge106|R,DNge106,R,descending,5,3286.70,1,1,0,1,0.30
DNb02|L,DNb02,L,descending,23,17629.80,1,1,0,1,0.06
DNge107|R,DNge107,R,descending,29,19447.18,1,1,0,1,0.05
DNb02|R,DNb02,R,descending,22,15798.27,1,1,0,1,0.06
DNb03|L,DNb03,L,descending,27,22067.64,1,1,0,1,0.05
DNb06|L,DNb06,L,descending,10,6442.32,1,1,0,1,0.16
DNb07|R,DNb07,R,descending,46,33798.59,1,1,0,1,0.03
DNge114|L,DNge114,L,descending,15,9103.18,1,1,0,1,0.11
DNbe001|L,DNbe001,L,descending,26,19136.53,1,1,0,1,0.05
DNge117|L,DNge117,L,descending,3,1088.25,1,1,0,1,0.92
DNge117|R,DNge117,R,descending,3,1073.25,1,1,0,1,0.93
DNge119|L,DNge119,L,descending,14,8548.33,1,1,0,1,0.12
DNbe005|L,DNbe005,L,descending,40,30049.91,1,1,0,1,0.03
DNbe005|R,DNbe005,R,descending,38,28243.57,1,1,0,1,0.04
DNge128|L,DNge128,L,descending,4,1924.08,0,1,0,1,0.52
DNc01|L,DNc01,L,descending,1,826.61,0,1,0,1,1.21
DNd02|R,DNd02,R,descending,54,37465.07,0,1,0,1,0.03
DNd03|L,DNd03,L,descending,75,48770.56,1,1,0,1,0.02
DNge137|R,DNge137,R,descending,11,8558.43,1,1,0,1,0.12
DNg02_a|R,DNg02_a,R,descending,28,13812.10,1,1,0,1,0.07
DNg05_a|L,DNg05_a,L,descending,18,8025.73,1,1,0,1,0.12
DNge141|L,DNge141,L,descending,14,7702.24,0,1,0,1,0.13
DNge141|R,DNge141,R,descending,12,6256.14,0,1,0,1,0.16
DNg05_b|L,DNg05_b,L,descending,13,6017.44,1,1,0,1,0.17
DNg05_b|R,DNg05_b,R,descending,10,4586.78,1,1,0,1,0.22
DNg100|L,DNg100,L,descending,84,50169.94,0,1,0,1,0.02
DNg106|L,DNg106,L,descending,26,13608.83,0,1,0,1,0.07
DNg106|R,DNg106,R,descending,26,14320.66,0,1,0,1,0.07
DNge148|R,DNge148,R,descending,7,3445.17,1,1,0,1,0.29
DNg107|L,DNg107,L,descending,4,2931.29,0,1,0,1,0.34
DNg108|R,DNg108,R,descending,18,8531.64,1,1,0,1,0.12
DNg109|L,DNg109,L,descending,18,9115.67,0,1,0,1,0.11
DNg12_a|L,DNg12_a,L,descending,12,5706.62,1,1,0,1,0.18
DNge179|L,DNge179,L,descending,5,1825.22,1,1,0,1,0.55
DNge179|R,DNge179,R,descending,4,1465.74,1,1,0,1,0.68
DNp01|R,DNp01,R,descending,5,2265.10,1,1,0,1,0.44
DNp07|R,DNp07,R,descending,43,24688.25,1,1,0,1,0.04
DNg12_a|R,DNg12_a,R,descending,9,4172.84,1,1,0,1,0.24
DNp102|R,DNp102,R,descending,35,20373.01,1,1,0,1,0.05
DNp11|L,DNp11,L,descending,37,21121.24,0,1,0,1,0.05
DNg13|L,DNg13,L,descending,29,16577.63,0,1,0,1,0.06
DNg13|R,DNg13,R,descending,30,16463.25,0,1,0,1,0.06
DNg14|L,DNg14,L,descending,10,7029.94,1,1,0,1,0.14
DNg14|R,DNg14,R,descending,9,6733.62,1,1,0,1,0.15
DNg20|L,DNg20,L,descending,14,9911.34,0,1,0,1,0.10
DNp14|L,DNp14,L,descending,31,18207.73,1,1,0,1,0.05
DNp14|R,DNp14,R,descending,30,17635.16,0,1,0,1,0.06
DNg26|R,DNg26,R,descending,11,7456.10,0,1,0,1,0.13
DNg31|L,DNg31,L,descending,18,12006.88,1,1,0,1,0.08
DNp17|L,DNp17,L,descending,46,29257.37,1,1,0,1,0.03
DNg31|R,DNg31,R,descending,16,11176.77,1,1,0,1,0.09
DNp21|L,DNp21,L,descending,35,21139.03,0,1,0,1,0.05
DNg32|L,DNg32,L,descending,38,22071.86,1,1,0,1,0.05
DNg32|R,DNg32,R,descending,39,22278.34,1,1,0,1,0.04
DNd04|R,DNd04,R,descending,16,10794.42,0,1,0,1,0.09
DNg37|R,DNg37,R,descending,44,19883.52,1,1,0,1,0.05
AN10B008|L,AN10B008,L,ascending,11,7318.37,1,0,1,1,0.14
aSP22|R,aSP22,R,descending,68,49759.01,1,1,0,1,0.02
DNge114|R,DNge114,R,descending,15,9861.15,1,1,0,1,0.10
DNg44|R,DNg44,R,descending,27,17229.39,0,1,0,1,0.06
AN06B005|L,AN06B005,L,ascending,5,4170.23,1,0,1,1,0.24
pIP1|R,pIP1,R,descending,49,29292.11,0,1,0,1,0.03
AN07B091|L,AN07B091,L,ascending,4,1129.93,1,0,1,1,0.89
AN19B060|R,AN19B060,R,ascending,3,1845.28,1,0,1,1,0.54
DNg51|L,DNg51,L,descending,11,6777.73,1,1,0,1,0.15
ANXXX002|R,ANXXX002,R,ascending,6,3201.71,1,0,1,1,0.31
AN06B014|L,AN06B014,L,ascending,9,6605.05,1,0,1,1,0.15
DNp60|L,DNp60,L,descending,41,25747.29,1,1,0,1,0.04
AN06B014|R,AN06B014,R,ascending,7,5059.48,1,0,1,1,0.20
DNg69|L,DNg69,L,descending,4,2326.83,1,1,0,1,0.43
DNg69|R,DNg69,R,descending,1,460.40,1,1,0,1,2.17
AN06B023|L,AN06B023,L,ascending,4,1742.45,1,0,1,1,0.57
AN06B023|R,AN06B023,R,ascending,7,3507.32,1,0,1,1,0.29
DNg71|L,DNg71,L,descending,23,14727.97,1,1,0,1,0.07
DNp66|L,DNp66,L,descending,31,17550.25,0,1,0,1,0.06
DNp66|R,DNp66,R,descending,30,17111.06,0,1,0,1,0.06
DNp67|L,DNp67,L,descending,31,19404.94,0,1,0,1,0.05
DNg71|R,DNg71,R,descending,23,14884.98,1,1,0,1,0.07
DNp69|R,DNp69,R,descending,53,29983.91,0,1,0,1,0.03
AN06B025|L,AN06B025,L,ascending,21,15908.66,1,0,1,1,0.06
DNg74_a|L,DNg74_a,L,descending,56,31785.05,0,1,0,1,0.03
DNpe005|R,DNpe005,R,descending,34,20417.74,1,1,0,1,0.05
DNg74_a|R,DNg74_a,R,descending,38,21161.17,1,1,0,1,0.05
