permutation,primary,weighted,within_compartment,synapse_positions
842,2.03365e+08,3.2442e+10,1.28227e+08,1.76357e+08
843,2.0309e+08,3.13631e+10,1.27824e+08,1.76469e+08
844,2.02965e+08,3.20131e+10,1.27521e+08,1.75822e+08
845,2.03834e+08,3.227e+10,1.27801e+08,1.76598e+08
846,2.03779e+08,3.33855e+10,1.27948e+08,1.76455e+08
847,2.02576e+08,3.18727e+10,1.2763e+08,1.75447e+08
848,2.03435e+08,3.37771e+10,1.27861e+08,1.76323e+08
849,2.02768e+08,3.27915e+10,1.2825e+08,1.75894e+08
850,2.03007e+08,3.28937e+10,1.27993e+08,1.75647e+08
851,2.02776e+08,3.16575e+10,1.28071e+08,1.75759e+08
852,2.03509e+08,3.24125e+10,1.28384e+08,1.76352e+08
853,2.03269e+08,3.23834e+10,1.27928e+08,1.76467e+08
854,2.01966e+08,3.0543e+10,1.2813e+08,1.7483e+08
855,2.02865e+08,3.19837e+10,1.27541e+08,1.76023e+08
856,2.03039e+08,3.24397e+10,1.27744e+08,1.76162e+08
857,2.034e+08,3.23329e+10,1.28117e+08,1.76116e+08
858,2.02466e+08,3.30797e+10,1.27957e+08,1.75377e+08
859,2.03435e+08,3.34056e+10,1.28005e+08,1.76681e+08
860,2.03081e+08,3.18418e+10,1.27869e+08,1.75938e+08
861,2.03131e+08,3.21617e+10,1.28083e+08,1.76336e+08
862,2.03133e+08,3.22655e+10,1.27807e+08,1.75951e+08
863,2.03266e+08,3.24512e+10,1.28113e+08,1.76374e+08
864,2.02956e+08,3.18314e+10,1.28086e+08,1.76038e+08
865,2.03201e+08,3.22511e+10,1.28055e+08,1.76246e+08
866,2.02532e+08,3.29377e+10,1.2758e+08,1.75525e+08
867,2.02722e+08,3.27988e+10,1.27875e+08,1.75715e+08
868,2.03361e+08,3.19679e+10,1.28144e+08,1.76026e+08
869,2.02625e+08,3.24266e+10,1.2778e+08,1.75852e+08
870,2.03581e+08,3.27765e+10,1.28204e+08,1.76414e+08
871,2.03044e+08,3.19935e+10,1.28418e+08,1.75999e+08
872,2.0358e+08,3.31248e+10,1.28175e+08,1.76498e+08
873,2.04014e+08,3.27773e+10,1.2763e+08,1.76961e+08
874,2.03112e+08,3.28901e+10,1.28169e+08,1.75995e+08
875,2.03209e+08,3.2442e+10,1.27701e+08,1.75774e+08
876,2.02864e+08,3.22454e+10,1.2786e+08,1.75611e+08
877,2.03459e+08,3.22818e+10,1.28546e+08,1.75939e+08
878,2.03719e+08,3.25554e+10,1.27816e+08,1.7623e+08
879,2.02723e+08,3.26023e+10,1.28305e+08,1.7561e+08
880,2.02469e+08,3.34154e+10,1.27772e+08,1.75652e+08
881,2.03129e+08,3.14638e+10,1.27918e+08,1.76215e+08
882,2.03023e+08,3.16635e+10,1.27656e+08,1.75984e+08
883,2.03124e+08,3.20753e+10,1.27695e+08,1.75646e+08
884,2.03539e+08,3.14644e+10,1.28051e+08,1.76418e+08
885,2.02968e+08,3.2347e+10,1.28121e+08,1.76007e+08
886,2.02762e+08,3.20267e+10,1.27803e+08,1.75747e+08
887,2.03282e+08,3.21945e+10,1.28127e+08,1.76329e+08
888,2.0346e+08,3.35226e+10,1.28201e+08,1.7648e+08
889,2.02961e+08,3.27531e+10,1.27984e+08,1.76157e+08
890,2.02687e+08,3.23045e+10,1.28026e+08,1.75778e+08
891,2.03174e+08,3.19023e+10,1.28331e+08,1.76367e+08
892,2.03076e+08,3.31211e+10,1.27916e+08,1.76371e+08
893,2.02988e+08,3.18944e+10,1.28305e+08,1.75916e+08
